tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
459,44:49.8,52:29.6,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3165,Central Park West & W 72 St,40.77579377,-73.97620574,28592,Customer,1978,1,3/1/2020,3/1/2020
345,45:12.4,50:57.7,334,W 20 St & 7 Ave,40.74238787,-73.99726235,505,6 Ave & W 33 St,40.74901271,-73.98848395,41921,Subscriber,1963,1,3/1/2020,3/1/2020
1618,45:12.7,12:10.8,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,237,E 11 St & 2 Ave,40.73047309,-73.98672378,32018,Subscriber,1970,1,3/1/2020,3/1/2020
512,46:21.8,54:54.0,3707,Lexington Ave & E 26 St,40.741459,-73.983293,483,E 12 St & 3 Ave,40.73223272,-73.98889957,16461,Subscriber,1994,1,3/1/2020,3/1/2020
588,49:13.6,59:02.2,116,W 17 St & 8 Ave,40.74177603,-74.00149746,3746,6 Ave & Broome St,40.72430832,-74.00473036,28480,Customer,1982,2,3/1/2020,3/1/2020
539,51:14.2,00:13.3,3905,4 Ave & E 12 St,40.732647,-73.99011,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16140,Subscriber,1995,1,3/1/2020,3/1/2020
547,51:28.9,00:36.8,445,E 10 St & Avenue A,40.72740794,-73.98142006,482,W 15 St & 7 Ave,40.73935542,-73.99931783,21395,Subscriber,1993,1,3/1/2020,3/1/2020
92,56:26.3,57:59.0,325,E 19 St & 3 Ave,40.73624527,-73.98473765,503,E 20 St & Park Ave,40.73827428,-73.98751968,38075,Subscriber,1979,1,3/1/2020,3/1/2020
219,59:45.1,03:24.9,435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,35104,Subscriber,1962,1,3/1/2020,3/1/2020
1654,00:06.5,27:41.3,3142,1 Ave & E 62 St,40.7612274,-73.96094022,448,W 37 St & 10 Ave,40.75660359,-73.9979009,41773,Subscriber,1987,1,3/1/2020,3/1/2020
350,00:53.8,06:44.2,265,Stanton St & Chrystie St,40.72229346,-73.99147535,295,Pike St & E Broadway,40.71406667,-73.99293911,40537,Subscriber,1970,1,3/1/2020,3/1/2020
870,04:30.5,19:00.6,426,West St & Chambers St,40.71754834,-74.01322069,363,West Thames St,40.70834698,-74.01713445,33319,Customer,1969,0,3/1/2020,3/1/2020
603,06:19.9,16:23.7,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,435,W 21 St & 6 Ave,40.74173969,-73.99415556,32855,Subscriber,1959,1,3/1/2020,3/1/2020
744,07:07.1,19:31.2,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,3472,W 15 St & 10 Ave,40.74275383,-74.00747359,41643,Customer,1972,1,3/1/2020,3/1/2020
210,08:35.9,12:06.8,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,127,Barrow St & Hudson St,40.73172428,-74.00674436,38716,Subscriber,1990,1,3/1/2020,3/1/2020
226,08:37.9,12:24.5,3408,Congress St & Clinton St,40.6881529,-73.99520919,3332,Degraw St & Hoyt St,40.68199044,-73.99079025,32834,Subscriber,1968,1,3/1/2020,3/1/2020
427,09:11.0,16:18.4,239,Willoughby St & Fleet St,40.69196566,-73.9813018,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,28000,Subscriber,1989,1,3/1/2020,3/1/2020
